First name,Last name,Highest DOJ title,# years DOJ service,Admins served under
Edith T.,Byrne,"Director, Workers Compensation Program",27,"Obama, Bush II, Clinton, Bush I, Reagan, Carter"
Mark,Byrne,Assistant United States Attorney,10,"Clinton, Bush I, Reagan"
Luis,C.deBaca,"Director, Office of Sex Offender Sentencing, Monitoring, Apprehending, Registering, and Tracking",19,"Trump, Obama, Bush II, Clinton"
Lisa,Cacheris Burnett,"Deputy Director, Office of International Affairs, Criminal Division",21,"Bush II, Clinton, Bush I, Reagan"
James,Cadogan,Counselor to the Attorney General ,5,Obama
Patrick,Cafferty,Senior Trial Attorney,5.5,"Carter, Ford"
Mark,Califano,Assistant United States Attorney,12,"Bush II, Clinton, Bush I"
Michael,Callaghan,Chief Criminal Division,9,"Clinton, Bush I"
Nikki,Calvano,Assistant Director,27,"Obama, Bush II, Clinton, Bush I"
Marshall,Camp,Assistant United States Attorney,4,"Obama, Bush II"
Cynthia,Campbell,Assistant United States Attorney,10,"Reagan, Carter"
James,Campbell,Legal Analyst,1,Obama
Bradley,Campbell,Trial Attorney,5,"Clinton, Bush I"
Carina,Campobasso,Trial Attorney,6,Clinton
Steve,Canfil,Trial Attorney,5.5,"Bush II, Clinton, Reagan"
